Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary,Sentiment_Score
The Children,5.9,84,2008,thriller,Tom Shankland,19000,64,A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.,-1.0
The Dark Knight,9.0,152,2008,thriller,Christopher Nolan,3000000,84,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",0.0
The Hurt Locker,7.5,131,2008,thriller,Kathryn Bigelow,483000,95,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",-0.0625
The Ruins,5.9,90,2008,thriller,Carter Smith,87000,44,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.",-0.27499999999999997
Traitor,6.9,114,2008,thriller,Jeffrey Nachmanoff,60000,61,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn.",-0.007142857142857136
Untraceable,6.2,101,2008,thriller,Gregory Hoblit,54000,32,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",0.03616161616161615
Valkyrie,7.1,121,2008,thriller,Bryan Singer,265000,56,"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",-0.19999999999999998
Vantage Point,6.6,90,2008,thriller,Pete Travis,156000,40,The attempted assassination of the American President is told and re-told from several different perspectives.,0.0
Wanted,6.7,110,2008,thriller,Timur Bekmambetov,418000,64,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",-0.3
9,7.0,79,2009,thriller,Shane Acker,152000,60,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,0.0
Daybreakers,6.4,98,2009,thriller,Michael Spierig,138000,57,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.",0.0
District 9,7.9,112,2009,thriller,Neill Blomkamp,732000,81,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",-0.05
Orphan,7.0,123,2009,thriller,Jaume Collet-Serra,264000,42,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,-0.125
State of Play,7.1,127,2009,thriller,Kevin Macdonald,163000,64,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.",-0.05
The Fourth Kind,5.9,98,2009,thriller,Olatunde Osunsanmi,84000,34,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up.",0.011111111111111108
The International,6.5,118,2009,thriller,Tom Tykwer,102000,52,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,0.0
The Last House on the Left,6.5,113,2009,thriller,Dennis Iliadis,104000,42,"After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics.",-0.5916666666666667
The Uninvited,6.3,87,2009,thriller,Charles Guard,87000,43,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her father's new girlfriend and ghastly visions of her dead mother.",-0.05454545454545456
Black Swan,8.0,108,2010,thriller,Darren Aronofsky,852000,79,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",0.5166666666666666
Devil,6.3,80,2010,thriller,John Erick Dowdle,162000,44,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.,-0.1
Frozen,6.2,93,2010,thriller,Adam Green,84000,43,"Three skiers stranded on a chairlift are forced to make life-or-death choices, which prove more perilous than staying put and freezing to death.",0.09999999999999998
Green Zone,6.8,115,2010,thriller,Paul Greengrass,145000,63,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,0.0
Inception,8.8,148,2010,thriller,Christopher Nolan,2700000,74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",-0.3333333333333333
Insidious,6.8,103,2010,thriller,James Wan,351000,52,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,-0.5
Legend of the Guardians: The Owls of Ga'Hoole,6.9,97,2010,thriller,Zack Snyder,89000,53,The young owl Soren is kidnapped by the evil owls of St. Aegolious who want to turn him into a soldier. He escapes with some of his friends and warns the mythical guardians about the evil plan.,-0.6333333333333333
Repo Men,6.3,111,2010,thriller,Miguel Sapochnik,112000,32,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",-0.16666666666666666
Salt,6.5,100,2010,thriller,Phillip Noyce,336000,65,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,0.0
6 Souls,6.0,112,2010,thriller,Måns Mårlind,38000,28,A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,0.0
Shutter Island,8.2,138,2010,thriller,Martin Scorsese,1500000,63,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,-0.1
The Ghost Writer,7.2,128,2010,thriller,Roman Polanski,173000,77,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",0.175
"Tomorrow, When the War Began",6.1,104,2010,thriller,Stuart Beattie,32000,54,"When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.",-0.5
Contagion,6.8,106,2011,thriller,Steven Soderbergh,322000,70,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.",-0.2
Cowboys & Aliens,6.0,119,2011,thriller,Jon Favreau,237000,50,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",0.05
Detention,5.6,93,2011,thriller,Joseph Kahn,17000,45,"As a copycat killer named after movie villain Cinderhella stalks the student body at Grizzly Lake High School, a group of co-eds band together to survive while serving detention.",0.16
Fast Five,7.3,130,2011,thriller,Justin Lin,418000,66,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,-0.09999999999999999
Hanna,6.7,111,2011,thriller,Joe Wright,210000,65,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",0.0
Kempe Gowda,7.2,141,2011,thriller,Sudeep,938,64,An enraged and influential gangster plans the ultimate vengeance against an honest police officer.,0.3
Martha Marcy May Marlene,6.8,102,2011,thriller,Sean Durkin,57000,75,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",-0.7
Rise of the Planet of the Apes,7.6,105,2011,thriller,Rupert Wyatt,590000,68,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,0.4
Source Code,7.5,93,2011,thriller,Duncan Jones,564000,74,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,0.1
Super 8,7.0,112,2011,thriller,J.J. Abrams,373000,72,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",-0.09999999999999999
The Adjustment Bureau,7.0,106,2011,thriller,George Nolfi,276000,60,The relationship between a politician and a contemporary dancer is affected by mysterious forces keeping them apart.,0.08333333333333333
The Adventures of Tintin,7.3,107,2011,thriller,Steven Spielberg,248000,68,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,0.0
The Girl with the Dragon Tattoo,7.8,158,2011,thriller,David Fincher,510000,71,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by hacker Lisbeth Salander.,-0.2
The Twilight Saga: Breaking Dawn - Part 1,4.9,117,2011,thriller,Bill Condon,261000,45,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",0.0
Unknown,6.8,113,2011,thriller,Jaume Collet-Serra,273000,56,"When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.",0.0
Vishnuvardhana,7.4,169,2011,thriller,Ponkumaran,862,64,"A man who has a dream of making easy money, falls in a series of complex situations when he accidentally finds a gangster's phone.",0.06666666666666668
You're Next,6.6,95,2011,thriller,Adam Wingard,115000,66,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.",-0.13333333333333333
Argo,7.7,120,2012,thriller,Ben Affleck,650000,86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",-0.3
B.A. Pass,6.4,95,2012,thriller,Ajay Bahl,4400,64,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,0.03333333333333333
Byzantium,6.5,118,2012,thriller,Neil Jordan,47000,66,"Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a rundown hotel.",-0.2
Cloud Atlas,7.4,172,2012,thriller,Tom Tykwer,380000,55,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",-0.0625
End of Watch,7.6,109,2012,thriller,David Ayer,278000,68,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.",0.04999999999999999
Jack Reacher,7.0,130,2012,thriller,Christopher McQuarrie,377000,50,"Jack Reacher, a homicide investigator, digs deeper into a case involving a trained military sniper responsible for a mass shooting.",0.05
Lawless,7.2,116,2012,thriller,John Hillcoat,258000,58,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",0.12283549783549784
Looper,7.4,119,2012,thriller,Rian Johnson,615000,84,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",0.030000000000000006
Simon Killer,6.3,106,2012,thriller,Antonio Campos,5100,63,"A recent college graduate flees to Paris after a break-up, where his involvement with a prostitute begins to reveal a potentially dark recent past.",-0.1
Snow White and the Huntsman,6.1,127,2012,thriller,Rupert Sanders,308000,57,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",-0.1875
Skyfall,7.8,143,2012,thriller,Sam Mendes,747000,81,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",-0.12111111111111113
Talaash: The Answer Lies Within,7.3,140,2012,thriller,Reema Kagti,47000,65,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",-0.22999999999999998
The Dark Knight Rises,8.4,164,2012,thriller,Christopher Nolan,1900000,78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",0.0
The Last Will and Testament of Rosalind Leigh,5.1,82,2012,thriller,Rodrigo Gudiño,4700,64,"A young man returns to his recently deceased mother's charming gothic revival home, only to discover a sinister presence lying within that may be linked to a peculiar cult run by two strange brothers.",0.04166666666666666
The Lords of Salem,5.2,101,2012,thriller,Rob Zombie,33000,57,"Radio DJ Heidi is sent a box containing a record--a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?",-0.41875
The Possession,5.9,92,2012,thriller,Ole Bornedal,64000,45,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",-0.13333333333333333
The Seasoning House,6.1,90,2012,thriller,Paul Hyett,12000,64,"Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life.",-0.3
The Woman in Black,6.4,95,2012,thriller,James Watkins,196000,62,A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.,0.0
Zero Dark Thirty,7.4,157,2012,thriller,Kathryn Bigelow,328000,95,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",0.0
6-5=2,5.6,105,2013,thriller,K.S. Ashoka,1100,64,"Six youngsters go for a trekking trip. If five of them gets killed by unknown forces, how many will return back?",0.04999999999999999
Attahaasa,7.0,171,2013,thriller,A.M.R. Ramesh,180,64,"Veerappan has been a subject of great mystery and inquisitive character among the journalistic society. His life has been marked with various twists and turns that has always left a common man in oblivion of sorts. His crimes have been marked as acts of bloody thirst for power and money by the forces that have kept a track on him during his tenure as a brigand. This movie is made with a pure journalistic perspective. An in depth study of his life and activities which includes the final moments has been done over the past eleven years. Two hundred and fifty and odd first hand people connected to his life have been interviewed. The cinema is shot on real and authentic locations connected to the events. Also keeping the cinematic value intact, we have not left any stone untouched when it comes to the realistic genre of cinema with respect to this story. The cinema covers everything from the brigand's birth to death and all the pivotal events connected to his story. One should look out for the thrilling moments in the climax of the movie, captured with great rustic detail.",0.10464852607709751
Carrie,5.8,100,2013,thriller,Kimberly Peirce,152000,53,"A shy girl, outcast by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",-0.1625
Case No.18/9,7.8,0,2013,thriller,Mahesh Rao,35,64,,0.0
Europa Report,6.4,90,2013,thriller,Sebastián Cordero,77000,68,An international crew of astronauts undertakes a privately funded mission to search for life on Jupiter's fourth largest moon.,0.0
Gravity,7.7,91,2013,thriller,Alfonso Cuarón,878000,96,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.",0.125
Kaddipudi,7.5,135,2013,thriller,Suri,811,64,"Kaddipudi, a rowdy sheeter, yearns for a peaceful life, but politicians like Renukaji, his son Gaali and Shankarappa use him as a pawn for their selfish ends.",-0.125
Lucia,8.3,135,2013,thriller,Pawan Kumar,14000,64,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",0.35
Mama,6.2,100,2013,thriller,Andy Muschietti,195000,57,"Two little girls disappear into the woods the day that their parents were killed. When they are found 5 years later and begin a new life, they find that someone or something still wants to tuck them in at night.",-0.010227272727272729
Now You See Me,7.2,115,2013,thriller,Louis Leterrier,731000,50,"An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",0.0
Avenged,5.5,95,2013,thriller,Michael S. Ojeda,4600,64,A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.,-0.5
Snowpiercer,7.1,126,2013,thriller,Bong Joon Ho,402000,84,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",-0.1409090909090909
Soodhu Kavvum,8.3,135,2013,thriller,Nalan Kumarasamy,12000,64,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.",-0.2
Special 26,8.0,144,2013,thriller,Neeraj Pandey,60000,64,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,0.4375
Stoker,6.7,99,2013,thriller,Park Chan-wook,116000,58,"After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.",0.15909090909090906
The Call,6.7,94,2013,thriller,Brad Anderson,132000,51,"When a veteran 911 operator takes a life-altering call from a teenage girl who has just been abducted, she realizes that she must confront a killer from her past in order to save the girl's life.",-0.08333333333333333
The Conjuring,7.5,112,2013,thriller,James Wan,579000,68,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,-0.15
The Hunger Games: Catching Fire,7.5,146,2013,thriller,Francis Lawrence,742000,76,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,0.0
The Returned,5.9,98,2013,thriller,Manuel Carballo,8900,47,"In a post-zombie world, where the infected live normal lives, their retroviral drug is running out.",0.1431818181818182
Tony,7.7,136,2013,thriller,Jayatheertha,53,64,The story revolves around Tony who wants to make quick money and keep his girlfriend happy. His greed changes him eventually and complicates his relationship with his girlfriend.,0.4444444444444445
Vishwaroopam,7.9,148,2013,thriller,Kamal Haasan,41000,64,"Vishwanathan, a Kathak dance teacher in New York, is in a rather happy marriage with Nirupama who is a nuclear oncologist. She hires a detective to keep a watch on her husband, who apparently ends up in a wrong place that reveals Vishwanathan's true identity.",0.1672727272727273
Captain America: The Winter Soldier,7.7,136,2014,thriller,Anthony Russo,927000,70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",0.05656565656565657
Cooties,5.7,88,2014,thriller,Jonathan Milott,30000,49,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives.",0.09999999999999999
Unfriended,5.6,83,2014,thriller,Levan Gabriadze,84000,59,"A group of online chatroom friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",-0.011111111111111118
Dawn of the Planet of the Apes,7.6,130,2014,thriller,Matt Reeves,498000,79,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,0.0
Drishya,8.3,154,2014,thriller,P. Vasu,881,64,A man takes desperate measures to try to save his family from the dark side of the law after they commit an unexpected crime.,-0.21666666666666667
Godzilla,6.4,123,2014,thriller,Gareth Edwards,452000,62,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",0.0
Gone Girl,8.1,149,2014,thriller,David Fincher,1100000,79,The husband of a missing woman becomes the chief suspect in her disappearance.,-0.2
Haider,8.0,160,2014,thriller,Vishal Bhardwaj,59000,64,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",0.1
Honeymoon,5.7,87,2014,thriller,Leigh Janiak,28000,65,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,0.0
It Follows,6.8,100,2014,thriller,David Robert Mitchell,284000,83,A young woman is followed by an unknown supernatural force after a sexual encounter.,0.16666666666666666
Nightcrawler,7.8,117,2014,thriller,Dan Gilroy,631000,76,A petty thief desperate for work muscles into the world of crime journalism and becomes the star of his own story as he blurs the line between observer and participant.,0.0
Predestination,7.4,97,2014,thriller,Michael Spierig,319000,69,"As his last assignment, a temporal agent is tasked to travel back in time and prevent a bomb attack in New York in 1975. The hunt, however, turns out to be beyond the bounds of possibility.",0.04545454545454545
The Canal,5.8,92,2014,thriller,Ivan Kavanagh,15000,55,A film archivist finds his sanity crumbling after he is given an old 16mm film reel with footage from a horrific murder that occurred in the early 1900's.,-0.26666666666666666
The Equalizer,7.3,132,2014,thriller,Antoine Fuqua,441000,57,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,-0.11000000000000001
The Guest,6.7,100,2014,thriller,Adam Wingard,111000,76,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",0.1
The Maze Runner,6.8,113,2014,thriller,Wes Ball,531000,57,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",-0.2
The Purge: Anarchy,6.4,103,2014,thriller,James DeMonaco,167000,50,"Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.",0.0
Ugramm,8.0,132,2014,thriller,Prashanth Neel,7400,64,A man with a dangerous past must protect a girl from those who are hell bent on killing her.,-0.425
Ulidavaru Kandanthe,8.4,154,2014,thriller,Rakshit Shetty,9800,64,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",-0.2
White Bird in a Blizzard,6.4,91,2014,thriller,Gregg Araki,31000,51,"In 1988, a teenage girl's life is thrown into chaos when her mother disappears.",0.0
X-Men: Days of Future Past,7.9,132,2014,thriller,Bryan Singer,766000,75,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,-0.425
Bridge of Spies,7.6,142,2015,thriller,Steven Spielberg,334000,81,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",-0.19999999999999998
Crimson Peak,6.5,119,2015,thriller,Guillermo del Toro,163000,66,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",0.08333333333333333
Ex Machina,7.7,108,2014,thriller,Alex Garland,613000,78,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,0.16666666666666666
Eye in the Sky,7.3,102,2015,thriller,Gavin Hood,94000,73,"Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone, triggering an international dispute over the implications of modern warfare.",0.03333333333333333
Kendasampige,8.3,99,2015,thriller,Suri,2200,64,"When a love story goes awry, two young lovers are forced to take to the road with the police hot on their heels. They escape across Karnataka in a roller-coaster ride that is at once enthralling, exasperating and nail-biting.",0.13749999999999998
Mad Max: Fury Road,8.1,120,2015,thriller,George Miller,1200000,90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",-0.25
RangiTaranga,8.1,149,2015,thriller,Anup Bhandari,16000,64,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",0.0
Rathaavara,6.2,131,2015,thriller,Chandrashekar Bandiyappa,364,64,Rathaavara means the King's General who is also the best warrior.,0.525
Room,8.1,118,2015,thriller,Lenny Abrahamson,465000,86,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",0.00416666666666667
The Final Girls,6.5,91,2015,thriller,Todd Strauss-Schulson,54000,59,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",0.4
The Invitation,6.6,100,2015,thriller,Karyn Kusama,123000,74,"When a man accepts an invitation to a dinner party hosted by his ex-wife, the unsettling past reopens old wounds and creates new tensions.",-0.12840909090909092
The Lobster,7.1,119,2015,thriller,Yorgos Lanthimos,316000,82,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",0.007142857142857145
The Sea of Trees,6.1,110,2015,thriller,Gus Van Sant,19000,23,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,0.03333333333333333
The Visit,6.3,94,2015,thriller,M. Night Shyamalan,163000,55,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,-0.5
Uppi 2,7.8,135,2015,thriller,Upendra,8500,64,"A psychological thriller which depicts the fact that ""Today is a gift - that's why it's called Present"" in an unusual way. It is about a man called Neenu, who lives in the present. The film takes the audience through a journey of his life by detailing why Neenu lives in the present, by exploring his past and his future - both as seen by different people in Neenu's life. The film also highlights that happiness can be attained by means other than wealth.",0.05249999999999999
10 Cloverfield Lane,7.2,103,2016,thriller,Dan Trachtenberg,368000,76,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,0.05
Allied,7.1,124,2016,thriller,Robert Zemeckis,175000,60,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",-0.15000000000000002
Don't Breathe,7.1,88,2016,thriller,Fede Alvarez,315000,71,"Three delinquents break into the house of a war veteran who is blind to steal his money. However, they discover that the man is not as defenseless as he seems.",-0.3
Morgan,5.8,92,2016,thriller,Luke Scott,48000,48,A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,-0.3
Ouija: Origin of Evil,6.2,99,2016,thriller,Mike Flanagan,78000,65,"In 1967 Los Angeles, a widowed mother's daughter tries to communicate with her late father through a Ouija board, but unleashes a demon instead.",-0.2
"Crouching Tiger, Hidden Dragon",7.9,120,2000,action,Ang Lee,287000,94,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,0.025
Gladiator,8.5,155,2000,action,Ridley Scott,1700000,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,-0.04999999999999999
Gone in 60 Seconds,6.5,118,2000,action,Dominic Sena,302000,35,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,0.0
Taxi 2,6.5,88,2000,action,Gérard Krawczyk,61000,64,"Police inspector Emilien and his taxi-driver pal Daniel are back, this time on the tail of a group of Japanese yakuza.",0.0
X-Men,7.3,104,2000,action,Bryan Singer,669000,64,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",0.0
Kiss of the Dragon,6.6,98,2001,action,Chris Nahon,68000,58,A betrayed intelligence officer enlists the aid of a prostitute to prove his innocence from a deadly conspiracy while returning a favor to her.,-0.2
Lara Croft: Tomb Raider,5.8,100,2001,action,Simon West,224000,33,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,-0.05000000000000002
Equilibrium,7.3,107,2002,action,Kurt Wimmer,354000,33,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",-0.25
A Peck on the Cheek,8.3,136,2002,action,Mani Ratnam,9500,64,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",0.0062500000000000056
Minority Report,7.6,145,2002,action,Steven Spielberg,599000,80,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",0.0
Resident Evil,6.6,100,2002,action,Paul W.S. Anderson,297000,35,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",0.18571428571428572
Spider-Man,7.4,121,2002,action,Sam Raimi,914000,73,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",-0.5
The Bourne Identity,7.8,119,2002,action,Doug Liman,591000,68,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",0.0
The Transporter,6.8,92,2002,action,Louis Leterrier,328000,51,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",-0.1
Daredevil,5.3,103,2003,action,Mark Steven Johnson,234000,42,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,-0.1
