Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary,Sentiment_Score
My Big Fat Greek Wedding,6.6,95,2002,drama,Joel Zwick,148000,62,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,0.175
Panic Room,6.8,112,2002,drama,David Fincher,305000,65,"A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room when three men break-in, searching for a missing fortune.",0.15
Secretary,6.9,107,2002,drama,Steven Shainberg,103000,63,A timid young woman starts working for a demanding lawyer and finds a new way to deal with her self-harming urges.,0.11818181818181818
Signs,6.8,106,2002,drama,M. Night Shyamalan,399000,59,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",0.0
The Lord of the Rings: The Two Towers,8.8,179,2002,drama,Peter Jackson,1900000,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",0.13636363636363635
11:14,7.1,86,2003,drama,Greg Marcks,51000,65,"The events leading up to an 11:14 p.m. car crash, from five very different perspectives.",0.0
A Tale of Two Sisters,7.1,114,2003,drama,Kim Jee-woon,71000,65,"After being institutionalized in a mental hospital, Su-mi reunites with her sister, Su-yeon, and they return to live at their country home. But strange events plague the house, leading to surprising revelations and a shocking conclusion.",-0.06272727272727274
Bad Santa,7.0,92,2003,drama,Terry Zwigoff,161000,70,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,-0.5625
Boys,7.2,172,2003,drama,S. Shankar,4300,64,"'Boys' is the story of five boys and a girl from different families They are youthful, vibrant, careless violating all conventions and In the process, they discover their hidden talents.",-0.125
Cold Mountain,7.2,154,2003,drama,Anthony Minghella,160000,73,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",-0.19999999999999998
Dweepa,7.6,132,2002,drama,Girish Kasaravalli,290,64,"Nagi is the pillar of her small family that includes her husband and her rigid father-in-law. Faced with the possibility of losing her home due to the construction of a dam, Nagi proves her strength.",-0.025000000000000005
Holes,7.0,117,2003,drama,Andrew Davis,104000,71,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.,-0.4375
Kal Ho Naa Ho,7.9,186,2003,drama,Nikkhil Advani,78000,54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",0.32999999999999996
Kiccha,6.6,154,2003,drama,P.A. Arun Prasad,151,64,"Kiccha, a graduate, whiles away his time like many others and is unable to get a job. Looking at the desperate state of affairs, he finally decides to join politics in order to end unemployment.eradication of ruthless politics.",-0.32
Monster,7.3,109,2003,drama,Patty Jenkins,167000,74,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",0.0
Munna Bhai M.B.B.S.,8.1,156,2003,drama,Rajkumar Hirani,91000,64,A gangster sets out to fulfill his father's dream of becoming a doctor.,0.45
Oldboy,8.3,120,2003,drama,Park Chan-wook,670000,78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",-0.07777777777777779
Raktha Kanneeru,8.2,149,2003,drama,Sadhu Kokila,831,64,A westernized foreign return indian who has problem wit every concept of indian culture. He falls in love with a prostitute. He marries a village girl after his parents force him to do so. But in first night he will have problem. He goes to prostitute every now and then. He leaves wife and give everythng to prostitute then he becomes victim of a disease and everyone leaves him but only his wife and friend returns to try to cure him,0.11000000000000001
Runaway Jury,7.1,127,2003,drama,Gary Fleder,108000,61,"A juror, a lawyer and a mysterious woman stand in the way of a man trying to manipulate an explosive trial.",0.0
Thirteen,6.8,100,2003,drama,Catherine Hardwicke,102000,70,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",0.2833333333333333
50 First Dates,6.8,99,2004,drama,Peter Segal,395000,48,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,0.0625
Aapthamitra,8.2,100,2004,drama,P. Vasu,1300,64,"Ramesh and Ganga, a married couple, buy a palatial house, which is home to a vengeful spirit. When Ganga accidentally sets the spirit free, mysterious incidents start taking place in their household.",0.21666666666666667
A Moment to Remember,8.1,117,2004,drama,Park Kyung-Jin,26000,64,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease.,0.3
Before Sunset,8.1,80,2004,drama,Richard Linklater,299000,91,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",0.041666666666666664
Collateral,7.5,120,2004,drama,Michael Mann,446000,71,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,0.4
Eternal Sunshine of the Spotless Mind,8.3,108,2004,drama,Michel Gondry,1100000,89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",-0.09166666666666667
Finding Neverland,7.7,106,2004,drama,Marc Forster,214000,67,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,0.0
Hum Tum,7.0,143,2004,drama,Kunal Kohli,16000,64,A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.,-0.125
Lakshya,7.8,186,2004,drama,Farhan Akhtar,26000,64,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",0.0
Main Hoon Na,7.1,182,2004,drama,Farah Khan,42000,64,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",0.053125000000000006
Speak,7.2,89,2004,drama,Jessica Sharzer,31000,64,A teenager is traumatized into silence after a disastrous summer party.,-0.7
Swades,8.2,189,2004,drama,Ashutosh Gowariker,101000,64,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,0.75
Swing Girls,7.5,104,2004,drama,Shinobu Yaguchi,5100,64,"A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class, they end up vitiating and replacing the schools brass band.",-0.25
The Aviator,7.5,170,2004,drama,Martin Scorsese,393000,77,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,0.2
The Butterfly Effect,7.6,113,2004,drama,Eric Bress,537000,30,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",-0.01944444444444444
The Notebook,7.8,123,2004,drama,Nick Cassavetes,649000,53,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,0.044444444444444446
The Passion of the Christ,7.2,127,2004,drama,Mel Gibson,257000,47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",0.0
The Terminal,7.4,128,2004,drama,Steven Spielberg,511000,55,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",0.05
The Village,6.6,108,2004,drama,M. Night Shyamalan,287000,44,A series of events tests the beliefs of a small isolated countryside village.,-0.25
Troy,7.3,163,2004,drama,Wolfgang Petersen,589000,56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",0.3
Windstruck,7.1,123,2004,drama,Jae-young Kwak,7900,64,"The heart-warming romance story between Kyungjin and Myungwoo. Even though he has passed away, he will be always with Kyungwoo forever.",0.0
Anniyan,8.3,181,2005,drama,S. Shankar,23000,64,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements.",-0.19999999999999998
Batman Begins,8.2,140,2005,drama,Christopher Nolan,1600000,70,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",-0.30000000000000004
Chaos,6.4,106,2005,drama,Tony Giglio,59000,64,"Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber.",0.2
Corpse Bride,7.4,77,2005,drama,Tim Burton,312000,83,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",-0.05000000000000001
Flightplan,6.3,98,2005,drama,Robert Schwentke,175000,53,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",0.0
Gone Baby Gone,7.6,114,2007,drama,Ben Affleck,300000,72,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",-0.021875
Lord of War,7.6,122,2005,drama,Andrew Niccol,347000,62,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,0.0
Memoirs of a Geisha,7.3,145,2005,drama,Rob Marshall,166000,54,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha.",0.2375
Pride & Prejudice,7.8,129,2005,drama,Joe Wright,346000,82,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",0.5005102040816326
