Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary
162. Revolver,6.3,1h 51m,2005,thriller,Guy Ritchie, (106K),25,Gambler Jake Green enters into a game with potentially deadly consequences.
163. Serenity,7.8,1h 59m,2005,thriller,Joss Whedon, (310K),74,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
166. The Descent,7.2,1h 39m,2005,thriller,Neil Marshall, (258K),71,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
168. The Exorcism of Emily Rose,6.7,1h 59m,2005,thriller,Scott Derrickson, (144K),46,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
170. The Island,6.8,2h 16m,2005,thriller,Michael Bay, (333K),50,"In 2019, a mercenary pursues a man and woman who escaped a research facility after learning their true fate."
171. The Jacket,7.1,1h 43m,2005,thriller,John Maybury, (122K),44,"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them."
174. V for Vendetta,8.1,2h 12m,2005,thriller,James McTeigue, (1.2M),62,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
176. 16 Blocks,6.6,1h 42m,2006,thriller,Richard Donner, (136K),63,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece."
181. Casino Royale,8.0,2h 24m,2006,thriller,Martin Campbell, (713K),80,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro."
182. Children of Men,7.9,1h 49m,2006,thriller,Alfonso Cuarón, (544K),84,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
183. Crank,6.9,1h 28m,2006,thriller,Mark Neveldine, (270K),57,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
184. Deja Vu,7.1,2h 6m,2006,thriller,Tony Scott, (336K),59,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
185. Fanaa,7.1,2h 48m,2006,thriller,Kunal Kohli, (36K),N/A,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?
186. Inside Man,7.6,2h 9m,2006,thriller,Spike Lee, (410K),76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
189. Lucky Number Slevin,7.7,1h 50m,2006,thriller,Paul McGuigan, (331K),53,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
191. Mission: Impossible III,6.9,2h 6m,2006,thriller,J.J. Abrams, (401K),66,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.
201. The Da Vinci Code,6.6,2h 29m,2006,thriller,Ron Howard, (470K),46,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
202. The Departed,8.5,2h 31m,2006,thriller,Martin Scorsese, (1.5M),85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
205. The Hills Have Eyes,6.4,1h 47m,2006,thriller,Alexandre Aja, (189K),52,A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.
207. The Illusionist,7.5,1h 50m,2006,thriller,Neil Burger, (396K),68,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
208. The Prestige,8.5,2h 10m,2006,thriller,Christopher Nolan, (1.5M),66,Rival 19th-century magicians engage in a bitter battle for trade secrets.
210. Vettaiyaadu Vilaiyaadu,7.9,2h 54m,2006,thriller,Gautham Vasudev Menon, (8.5K),N/A,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country."
214. Awake,6.5,1h 24m,2007,thriller,Joby Harold, (83K),33,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.
221. Disturbia,6.8,1h 45m,2007,thriller,D.J. Caruso, (264K),62,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose."
222. Eastern Promises,7.6,1h 40m,2007,thriller,David Cronenberg, (269K),83,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
224. Fracture,7.2,1h 53m,2007,thriller,Gregory Hoblit, (226K),68,"After shooting his wife, Ted confesses his crime and asks the court to move his case to trial. He represents himself against Willy, a successful lawyer. But there's more to the case than meets the eye."
227. Hot Fuzz,7.8,2h 1m,2007,thriller,Edgar Wright, (549K),81,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town."
228. I Am Legend,7.2,1h 41m,2007,thriller,Francis Lawrence, (843K),65,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
233. Knowing,6.2,2h 1m,2009,thriller,Alex Proyas, (254K),41,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.
234. Live Free or Die Hard,7.1,2h 8m,2007,thriller,Len Wiseman, (428K),69,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.
236. Michael Clayton,7.2,1h 59m,2007,thriller,Tony Gilroy, (178K),82,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
238. Mr. Brooks,7.3,2h,2007,thriller,Bruce A. Evans, (160K),45,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.
239. Nancy Drew,5.9,1h 39m,2007,thriller,Andrew Fleming, (22K),53,"Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star."
240. Next,6.2,1h 36m,2007,thriller,Lee Tamahori, (170K),42,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.
241. No Country for Old Men,8.2,2h 2m,2007,thriller,Ethan Coen, (1.1M),92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
242. Ocean's Thirteen,6.9,2h 2m,2007,thriller,Steven Soderbergh, (376K),62,"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
243. Om Shanti Om,6.8,2h 42m,2007,thriller,Farah Khan, (52K),N/A,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
247. Sunshine,7.2,1h 47m,2007,thriller,Danny Boyle, (275K),64,A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
248. Shattered,6.6,1h 35m,2007,thriller,Mike Barker, (34K),N/A,A perfect family's dynamic is ruined by a kidnapper's brutally efficient plot.
249. Shoot 'Em Up,6.6,1h 26m,2007,thriller,Michael Davis, (157K),49,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen."
250. Shooter,7.1,2h 4m,2007,thriller,Antoine Fuqua, (365K),53,"An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assasination attempt he was trying to prevent, he sets out for the real killer, and the truth."
253. Sweeney Todd: The Demon Barber of Fleet Street,7.3,1h 56m,2007,thriller,Tim Burton, (396K),83,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett."
255. Teeth,5.4,1h 34m,2007,thriller,Mitchell Lichtenstein, (48K),57,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
256. The Bourne Ultimatum,8.0,1h 55m,2007,thriller,Paul Greengrass, (669K),85,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
261. The Lookout,6.9,1h 39m,2007,thriller,Scott Frank, (61K),73,"Chris is a once promising high school athlete whose life is turned upside down following a tragic accident. As he tries to maintain a normal life, he takes a job as a janitor at a bank, where he ultimately finds himself caught up in a planned heist."
262. The Mist,7.1,2h 6m,2007,thriller,Frank Darabont, (355K),58,"After a massive thunderstorm, an eerie, unwavering fog descends upon a Maine community. Locals seek refuge in a grocery store from the monstrous creatures now roaming the countryside killing everyone they encounter."
263. The Orphanage,7.4,1h 45m,2007,thriller,J.A. Bayona, (167K),74,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."
266. Trade,7.3,2h,2007,thriller,Marco Kreuzpaintner, (18K),42,"Adriana, 13, is kidnapped in Mexico City by Russian sex traffickers. Her criminal 17 y.o. brother starts looking for her. Across the border in Texas, he gets help from a cop."
268. Vacancy,6.2,1h 25m,2007,thriller,Nimród Antal, (110K),54,"Stranded in an isolated motel, a couple become the unsuspecting subjects of a snuff film."
270. Zodiac,7.7,2h 37m,2007,thriller,David Fincher, (629K),79,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
271. 24: Redemption,7.4,1h 24m,2008,thriller,Jon Cassar, (29K),N/A,"Jack Bauer confronts African general/aspiring dictator Benjamin Juma, whose forces have been ordered to capture the children Bauer oversees for malicious military training."
273. Blindness,6.5,2h 1m,2008,thriller,Fernando Meirelles, (76K),45,A city is ravaged by an epidemic of instant white blindness.
274. Changeling,7.7,2h 21m,2008,thriller,Clint Eastwood, (270K),63,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope."
275. City of Ember,6.4,1h 30m,2008,thriller,Gil Kenan, (71K),58,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Ember's once powerful generator is failing and the great lamps that illuminate the city are starting to flicker."
277. Death Race,6.4,1h 45m,2008,thriller,Paul W.S. Anderson, (223K),43,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.
280. Eagle Eye,6.6,1h 58m,2008,thriller,D.J. Caruso, (198K),43,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move."
281. Eden Lake,6.7,1h 31m,2008,thriller,James Watkins, (101K),65,"When a couple goes to a remote lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of kids. Rowdiness quickly turns to rage as the teens terrorize them, and a weekend outing becomes a battle for survival."
301. Quantum of Solace,6.5,1h 46m,2008,thriller,Marc Forster, (481K),58,James Bond tries to stop an organisation from eliminating a country's most valuable resource.
302. Quarantine,6.0,1h 29m,2008,thriller,John Erick Dowdle, (80K),53,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers."
304. Red Mist,4.9,1h 22m,2008,thriller,Paddy Breathnach, (3K),N/A,"After a prank goes awry and lands a hospital janitor in a coma, a group of doctors begin dying at the hands of the comatose patient who is extracting revenge through out-of-body experiences."
305. Restraint,6.0,1h 32m,2008,thriller,David Denneen, (6.6K),N/A,A young couple on the run hole up in a country estate with a hostage in tow.
307. Seven Pounds,7.6,2h 3m,2008,thriller,Gabriele Muccino, (320K),36,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
311. Taken,7.7,1h 30m,2008,thriller,Pierre Morel, (651K),51,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
312. The Alphabet Killer,5.2,1h 38m,2008,thriller,Rob Schmidt, (9.1K),N/A,"Based on the true story of the double initial killings in Rochester, NY."
313. The Bank Job,7.2,1h 51m,2008,thriller,Roger Donaldson, (193K),69,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.
315. The Children,5.9,1h 24m,2008,thriller,Tom Shankland, (19K),N/A,A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.
318. The Dark Knight,9.0,2h 32m,2008,thriller,Christopher Nolan, (3M),84,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
319. The Hurt Locker,7.5,2h 11m,2008,thriller,Kathryn Bigelow, (483K),95,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
321. The Ruins,5.9,1h 30m,2008,thriller,Carter Smith, (87K),44,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins."
324. Traitor,6.9,1h 54m,2008,thriller,Jeffrey Nachmanoff, (60K),61,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn."
326. Untraceable,6.2,1h 41m,2008,thriller,Gregory Hoblit, (54K),32,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal."
327. Valkyrie,7.1,2h 1m,2008,thriller,Bryan Singer, (265K),56,"A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II."
328. Vantage Point,6.6,1h 30m,2008,thriller,Pete Travis, (156K),40,The attempted assassination of the American President is told and re-told from several different perspectives.
330. Wanted,6.7,1h 50m,2008,thriller,Timur Bekmambetov, (418K),64,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
334. 9,7.0,1h 19m,2009,thriller,Shane Acker, (152K),60,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
341. Daybreakers,6.4,1h 38m,2009,thriller,Michael Spierig, (138K),57,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind."
343. District 9,7.9,1h 52m,2009,thriller,Neill Blomkamp, (732K),81,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there."
354. Orphan,7.0,2h 3m,2009,thriller,Jaume Collet-Serra, (264K),42,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.
360. State of Play,7.1,2h 7m,2009,thriller,Kevin Macdonald, (163K),64,"When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend."
362. The Fourth Kind,5.9,1h 38m,2009,thriller,Olatunde Osunsanmi, (84K),34,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up."
364. The International,6.5,1h 58m,2009,thriller,Tom Tykwer, (102K),52,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.
366. The Last House on the Left,6.5,1h 53m,2009,thriller,Dennis Iliadis, (104K),42,"After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics."
369. The Uninvited,6.3,1h 27m,2009,thriller,Charles Guard, (87K),43,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her father's new girlfriend and ghastly visions of her dead mother."
377. Black Swan,8.0,1h 48m,2010,thriller,Darren Aronofsky, (852K),79,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
379. Devil,6.3,1h 20m,2010,thriller,John Erick Dowdle, (162K),44,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.
381. Frozen,6.2,1h 33m,2010,thriller,Adam Green, (84K),43,"Three skiers stranded on a chairlift are forced to make life-or-death choices, which prove more perilous than staying put and freezing to death."
382. Green Zone,6.8,1h 55m,2010,thriller,Paul Greengrass, (145K),63,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.
385. Inception,8.8,2h 28m,2010,thriller,Christopher Nolan, (2.7M),74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
386. Insidious,6.8,1h 43m,2010,thriller,James Wan, (351K),52,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
389. Legend of the Guardians: The Owls of Ga'Hoole,6.9,1h 37m,2010,thriller,Zack Snyder, (89K),53,The young owl Soren is kidnapped by the evil owls of St. Aegolious who want to turn him into a soldier. He escapes with some of his friends and warns the mythical guardians about the evil plan.
394. Repo Men,6.3,1h 51m,2010,thriller,Miguel Sapochnik, (112K),32,"Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed."
395. Salt,6.5,1h 40m,2010,thriller,Phillip Noyce, (336K),65,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
396. 6 Souls,6.0,1h 52m,2010,thriller,Måns Mårlind, (38K),28,A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.
397. Shutter Island,8.2,2h 18m,2010,thriller,Martin Scorsese, (1.5M),63,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
401. The Ghost Writer,7.2,2h 8m,2010,thriller,Roman Polanski, (173K),77,"A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy."
"404. Tomorrow, When the War Began",6.1,1h 44m,2010,thriller,Stuart Beattie, (32K),54,"When their country is invaded and their families are taken, eight unlikely teenagers band together to fight."
409. Contagion,6.8,1h 46m,2011,thriller,Steven Soderbergh, (322K),70,"Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure."
410. Cowboys & Aliens,6.0,1h 59m,2011,thriller,Jon Favreau, (237K),50,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives."
413. Detention,5.6,1h 33m,2011,thriller,Joseph Kahn, (17K),45,"As a copycat killer named after movie villain Cinderhella stalks the student body at Grizzly Lake High School, a group of co-eds band together to survive while serving detention."
415. Fast Five,7.3,2h 10m,2011,thriller,Justin Lin, (418K),66,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
416. Hanna,6.7,1h 51m,2011,thriller,Joe Wright, (210K),65,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
421. Kempe Gowda,7.2,2h 21m,2011,thriller,Sudeep, (938),N/A,An enraged and influential gangster plans the ultimate vengeance against an honest police officer.
424. Martha Marcy May Marlene,6.8,1h 42m,2011,thriller,Sean Durkin, (57K),75,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult."
428. Rise of the Planet of the Apes,7.6,1h 45m,2011,thriller,Rupert Wyatt, (590K),68,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
431. Source Code,7.5,1h 33m,2011,thriller,Duncan Jones, (564K),74,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.
432. Super 8,7.0,1h 52m,2011,thriller,J.J. Abrams, (373K),72,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
433. The Adjustment Bureau,7.0,1h 46m,2011,thriller,George Nolfi, (276K),60,The relationship between a politician and a contemporary dancer is affected by mysterious forces keeping them apart.
434. The Adventures of Tintin,7.3,1h 47m,2011,thriller,Steven Spielberg, (248K),68,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
437. The Girl with the Dragon Tattoo,7.8,2h 38m,2011,thriller,David Fincher, (510K),71,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by hacker Lisbeth Salander.
440. The Twilight Saga: Breaking Dawn - Part 1,4.9,1h 57m,2011,thriller,Bill Condon, (261K),45,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
443. Unknown,6.8,1h 53m,2011,thriller,Jaume Collet-Serra, (273K),56,"When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is."
444. Vishnuvardhana,7.4,2h 49m,2011,thriller,Ponkumaran, (862),N/A,"A man who has a dream of making easy money, falls in a series of complex situations when he accidentally finds a gangster's phone."
446. You're Next,6.6,1h 35m,2011,thriller,Adam Wingard, (115K),66,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back."
449. Argo,7.7,2h,2012,thriller,Ben Affleck, (650K),86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
450. B.A. Pass,6.4,1h 35m,2012,thriller,Ajay Bahl, (4.4K),N/A,A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).
453. Byzantium,6.5,1h 58m,2012,thriller,Neil Jordan, (47K),66,"Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a rundown hotel."
454. Cloud Atlas,7.4,2h 52m,2012,thriller,Tom Tykwer, (380K),55,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
457. End of Watch,7.6,1h 49m,2012,thriller,David Ayer, (278K),68,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
459. Jack Reacher,7.0,2h 10m,2012,thriller,Christopher McQuarrie, (377K),50,"Jack Reacher, a homicide investigator, digs deeper into a case involving a trained military sniper responsible for a mass shooting."
461. Lawless,7.2,1h 56m,2012,thriller,John Hillcoat, (258K),58,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
463. Looper,7.4,1h 59m,2012,thriller,Rian Johnson, (615K),84,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
467. Simon Killer,6.3,1h 46m,2012,thriller,Antonio Campos, (5.1K),63,"A recent college graduate flees to Paris after a break-up, where his involvement with a prostitute begins to reveal a potentially dark recent past."
468. Snow White and the Huntsman,6.1,2h 7m,2012,thriller,Rupert Sanders, (308K),57,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
469. Skyfall,7.8,2h 23m,2012,thriller,Sam Mendes, (747K),81,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
470. Talaash: The Answer Lies Within,7.3,2h 20m,2012,thriller,Reema Kagti, (47K),65,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie."
472. The Dark Knight Rises,8.4,2h 44m,2012,thriller,Christopher Nolan, (1.9M),78,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
474. The Last Will and Testament of Rosalind Leigh,5.1,1h 22m,2012,thriller,Rodrigo Gudiño, (4.7K),N/A,"A young man returns to his recently deceased mother's charming gothic revival home, only to discover a sinister presence lying within that may be linked to a peculiar cult run by two strange brothers."
475. The Lords of Salem,5.2,1h 41m,2012,thriller,Rob Zombie, (33K),57,"Radio DJ Heidi is sent a box containing a record--a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?"
477. The Possession,5.9,1h 32m,2012,thriller,Ole Bornedal, (64K),45,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child."
478. The Seasoning House,6.1,1h 30m,2012,thriller,Paul Hyett, (12K),N/A,"Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life."
479. The Woman in Black,6.4,1h 35m,2012,thriller,James Watkins, (196K),62,A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.
483. Zero Dark Thirty,7.4,2h 37m,2012,thriller,Kathryn Bigelow, (328K),95,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
484. 6-5=2,5.6,1h 45m,2013,thriller,K.S. Ashoka, (1.1K),N/A,"Six youngsters go for a trekking trip. If five of them gets killed by unknown forces, how many will return back?"
487. Attahaasa,7.0,2h 51m,2013,thriller,A.M.R. Ramesh, (180),N/A,"Veerappan has been a subject of great mystery and inquisitive character among the journalistic society. His life has been marked with various twists and turns that has always left a common man in oblivion of sorts. His crimes have been marked as acts of bloody thirst for power and money by the forces that have kept a track on him during his tenure as a brigand. This movie is made with a pure journalistic perspective. An in depth study of his life and activities which includes the final moments has been done over the past eleven years. Two hundred and fifty and odd first hand people connected to his life have been interviewed. The cinema is shot on real and authentic locations connected to the events. Also keeping the cinematic value intact, we have not left any stone untouched when it comes to the realistic genre of cinema with respect to this story. The cinema covers everything from the brigand's birth to death and all the pivotal events connected to his story. One should look out for the thrilling moments in the climax of the movie, captured with great rustic detail."
494. Carrie,5.8,1h 40m,2013,thriller,Kimberly Peirce, (152K),53,"A shy girl, outcast by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
495. Case No.18/9,7.8,N/A,2013,thriller,Mahesh Rao, (35),N/A,N/A
498. Europa Report,6.4,1h 30m,2013,thriller,Sebastián Cordero, (77K),68,An international crew of astronauts undertakes a privately funded mission to search for life on Jupiter's fourth largest moon.
501. Gravity,7.7,1h 31m,2013,thriller,Alfonso Cuarón, (878K),96,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking."
506. Kaddipudi,7.5,2h 15m,2013,thriller,Suri, (811),N/A,"Kaddipudi, a rowdy sheeter, yearns for a peaceful life, but politicians like Renukaji, his son Gaali and Shankarappa use him as a pawn for their selfish ends."
507. Lucia,8.3,2h 15m,2013,thriller,Pawan Kumar, (14K),N/A,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality."
508. Mama,6.2,1h 40m,2013,thriller,Andy Muschietti, (195K),57,"Two little girls disappear into the woods the day that their parents were killed. When they are found 5 years later and begin a new life, they find that someone or something still wants to tuck them in at night."
510. Now You See Me,7.2,1h 55m,2013,thriller,Louis Leterrier, (731K),50,"An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
515. Avenged,5.5,1h 35m,2013,thriller,Michael S. Ojeda, (4.6K),N/A,A deaf girl is brutalized by a murderous gang who are then hunted by her when the bloodthirsty spirit of an Apache warrior inhabits her lifeless body.
