Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary
77. Dweepa,7.6,2h 12m,2002,drama,Girish Kasaravalli, (290),N/A,"Nagi is the pillar of her small family that includes her husband and her rigid father-in-law. Faced with the possibility of losing her home due to the construction of a dam, Nagi proves her strength."
79. Holes,7.0,1h 57m,2003,drama,Andrew Davis, (104K),71,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.
82. Kal Ho Naa Ho,7.9,3h 6m,2003,drama,Nikkhil Advani, (78K),54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
83. Kiccha,6.6,2h 34m,2003,drama,P.A. Arun Prasad, (151),N/A,"Kiccha, a graduate, whiles away his time like many others and is unable to get a job. Looking at the desperate state of affairs, he finally decides to join politics in order to end unemployment.eradication of ruthless politics."
85. Monster,7.3,1h 49m,2003,drama,Patty Jenkins, (167K),74,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
86. Munna Bhai M.B.B.S.,8.1,2h 36m,2003,drama,Rajkumar Hirani, (91K),N/A,A gangster sets out to fulfill his father's dream of becoming a doctor.
87. Oldboy,8.3,2h,2003,drama,Park Chan-wook, (670K),78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
89. Raktha Kanneeru,8.2,2h 29m,2003,drama,Sadhu Kokila, (831),N/A,A westernized foreign return indian who has problem wit every concept of indian culture. He falls in love with a prostitute. He marries a village girl after his parents force him to do so. But in first night he will have problem. He goes to prostitute every now and then. He leaves wife and give everythng to prostitute then he becomes victim of a disease and everyone leaves him but only his wife and friend returns to try to cure him
90. Runaway Jury,7.1,2h 7m,2003,drama,Gary Fleder, (108K),61,"A juror, a lawyer and a mysterious woman stand in the way of a man trying to manipulate an explosive trial."
96. Thirteen,6.8,1h 40m,2003,drama,Catherine Hardwicke, (102K),70,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend."
99. 50 First Dates,6.8,1h 39m,2004,drama,Peter Segal, (395K),48,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
100. Aapthamitra,8.2,1h 40m,2004,drama,P. Vasu, (1.3K),N/A,"Ramesh and Ganga, a married couple, buy a palatial house, which is home to a vengeful spirit. When Ganga accidentally sets the spirit free, mysterious incidents start taking place in their household."
102. A Moment to Remember,8.1,1h 57m,2004,drama,Park Kyung-Jin, (26K),N/A,A young couple's enduring love is tested when 27-year-old Su-jin is diagnosed with a rare form of Alzheimer's disease.
104. Before Sunset,8.1,1h 20m,2004,drama,Richard Linklater, (299K),91,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
107. Collateral,7.5,2h,2004,drama,Michael Mann, (446K),71,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.
111. Eternal Sunshine of the Spotless Mind,8.3,1h 48m,2004,drama,Michel Gondry, (1.1M),89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
113. Finding Neverland,7.7,1h 46m,2004,drama,Marc Forster, (214K),67,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
117. Hum Tum,7.0,2h 23m,2004,drama,Kunal Kohli, (16K),N/A,A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.
119. Lakshya,7.8,3h 6m,2004,drama,Farhan Akhtar, (26K),N/A,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
120. Main Hoon Na,7.1,3h 2m,2004,drama,Farah Khan, (42K),N/A,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother."
126. Speak,7.2,1h 29m,2004,drama,Jessica Sharzer, (31K),N/A,A teenager is traumatized into silence after a disastrous summer party.
128. Swades,8.2,3h 9m,2004,drama,Ashutosh Gowariker, (101K),N/A,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
129. Swing Girls,7.5,1h 44m,2004,drama,Shinobu Yaguchi, (5.1K),N/A,"A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class, they end up vitiating and replacing the schools brass band."
131. The Aviator,7.5,2h 50m,2004,drama,Martin Scorsese, (393K),77,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
